region,oil_soba,kikata_ramen,tsuke_men
福島縣,7%,73%,20%
埼玉縣,21%,7%,72%
東京都,26%,7%,67%
宮城縣,40%,13%,47%
栃木縣,16%,20%,64%
廣島縣,19%,3%,78%
神奈川縣,27%,8%,65%
大阪府,22%,4%,74%
茨城縣,19%,15%,66%
山形縣,32%,27%,41%
千葉縣,23%,10%,67%
新潟縣,19%,24%,57%
山梨縣,31%,7%,62%
青森縣,24%,8%,68%
長野縣,24%,12%,64%
京都府,20%,4%,76%
愛知縣,30%,6%,64%
群馬縣,23%,15%,62%
沖繩縣,16%,3%,81%
福岡縣,20%,4%,76%
秋田縣,38%,8%,54%
愛媛縣,28%,4%,68%
岩手縣,31%,11%,58%
北海道,38%,7%,55%
靜岡縣,27%,8%,65%
富山縣,19%,9%,72%
熊本縣,34%,3%,63%
德島縣,25%,4%,71%
岐阜縣,27%,5%,68%
石川縣,23%,8%,69%
奈良縣,20%,8%,72%
兵庫縣,24%,5%,71%
宮崎縣,21%,4%,75%
滋賀縣,33%,4%,63%
三重縣,24%,18%,58%
鳥取縣,40%,3%,57%
大分縣,0%,8%,92%
山口縣,35%,4%,61%
香川縣,24%,12%,64%
和歌山縣,28%,6%,66%
高知縣,31%,8%,61%
岡山縣,29%,5%,66%
福井縣,28%,12%,60%
島根縣,30%,5%,65%
佐賀縣,0%,9%,91%
長崎縣,0%,8%,92%
鹿兒島縣,45%,6%,49%
