,title,ingredients,directions,link,source,NER
295,Oriental Tossed Salad,"[""3/4 c. sugar"", ""1/2 c. red wine vinegar"", ""1 c. oil"", ""3 Tbsp. soy sauce"", ""2 pkg. Ramen noodles, crushed"", ""1 c. chopped walnuts"", ""1 bunch chopped green onion"", ""1 bunch broccoli florets"", ""2 pkg. romaine lettuce""]","[""Mix all together right before serving. Serves 12 to 15.""]",www.cookbooks.com/Recipe-Details.aspx?id=5907,Gathered,"[""sugar"", ""red wine vinegar"", ""oil"", ""soy sauce"", ""Ramen noodles"", ""walnuts"", ""green onion"", ""broccoli florets"", ""romaine lettuce""]"
2179,Chinese Cole Slaw,"[""2 pkg. beef flavor Ramen noodles, broken into small pieces"", ""1 1/2 c. slivered almonds"", ""4 Tbsp. sesame seeds"", ""3 Tbsp. butter or margarine"", ""6 green onions, sliced thin"", ""1 (16 oz.) pkg. cole slaw mix""]","[""Brown noodles, almonds and sesame seeds in the butter and cool."", ""Add green onions and cole slaw.""]",www.cookbooks.com/Recipe-Details.aspx?id=141088,Gathered,"[""beef flavor"", ""almonds"", ""sesame seeds"", ""butter"", ""green onions"", ""cole slaw""]"
2273,Ramen Cole Slaw,"[""1 (1 lb.) bag cole slaw mix"", ""1/2 bunch green onions"", ""1/2 c. chopped red pepper"", ""1 c. sunflower seeds"", ""1 c. slivered almonds"", ""2 pkg. Ramen noodles (any flavor)"", ""1/2 c. oil"", ""1/3 c. vinegar"", ""1/3 c. sugar""]","[""Mix the oil, vinegar and sugar with the seasoning packet for the dressing."", ""Mix cabbage, red peppers, nuts and onions with dressing."", ""Add broken Ramen noodles just before serving.""]",www.cookbooks.com/Recipe-Details.aspx?id=227363,Gathered,"[""cole slaw"", ""green onions"", ""red pepper"", ""sunflower seeds"", ""almonds"", ""Ramen noodles"", ""oil"", ""vinegar"", ""sugar""]"
2330,"Amber'S Top Ramenlubbock, Texas  ","[""1 pkg. Top Ramen - any flavor cuz I like them all!""]","[""Take the package of Top Ramen and smash it till it's in small pieces."", ""Cut open the package and put it in a microwave bowl. Empty seasoning into the bowl too."", ""Add enough water to cover the noodles and microwave for 1 1/2 minutes."", ""Stir and microwave for another 1 1/2 minutes."", ""It's done."", ""My Nan adds salsa to hers but I don't.""]",www.cookbooks.com/Recipe-Details.aspx?id=1072403,Gathered,"[""I""]"
2349,Ramen Cabbage Salad,"[""1/2 head cabbage, shredded"", ""4 green onions, sliced"", ""1 pkg. chicken flavored Ramen noodles, crushed"", ""2 tsp. toasted sesame seed"", ""1/2 c. toasted slivered almonds""]","[""Combine and mix well.""]",www.cookbooks.com/Recipe-Details.aspx?id=1058170,Gathered,"[""cabbage"", ""green onions"", ""chicken flavored Ramen noodles"", ""almonds""]"
2357,Cole Slaw,"[""1 (16 oz.) pkg. cole slaw blend"", ""3 (3 oz.) pkg. Ramen noodles (do not use flavor packet)"", ""2 (2 1/4 oz.) pkg. sliced almonds"", ""1 c. oil"", ""6 Tbsp. rice vinegar"", ""4 Tbsp. sugar"", ""2 tsp. salt"", ""1 tsp. pepper""]","[""Mix liquid and pour over ingredients."", ""Let stand 6 hours before serving.""]",www.cookbooks.com/Recipe-Details.aspx?id=523623,Gathered,"[""cole slaw blend"", ""Ramen noodles"", ""almonds"", ""oil"", ""rice vinegar"", ""sugar"", ""salt"", ""pepper""]"
2973,Sirloin Steak Salad,"[""1 sirloin steak"", ""1/2 c. slivered almonds, browned under broiler or in frypan"", ""4 green onions, sliced"", ""1 pkg. Ramen soup noodles (beef or mushroom)"", ""2 carrots, shredded"", ""1/2 head cabbage, shredded"", ""2 Tbsp. sesame seed""]","[""Broil sirloin steak and cut into bite size pieces."", ""Crush Ramen noodles by hand while in package."", ""Open carefully and slide out flavor packet (to be used in dressing)."", ""Mix all the ingredients, except noodles, almonds and dressing.""]",www.cookbooks.com/Recipe-Details.aspx?id=1085263,Gathered,"[""slivered almonds"", ""green onions"", ""Ramen soup noodles"", ""carrots"", ""cabbage"", ""sesame seed""]"
3187,Asian Slaw,"[""2 pkg. beef Ramen noodles"", ""1 (16 oz.) cole slaw mix"", ""1 c. sliced almonds"", ""1 c. sunflower seeds"", ""1 bunch green onions, sliced"", ""3/4 c. oil"", ""2/3 c. vinegar"", ""3/4 c. sugar"", ""2 pkg. beef seasoning from Ramen noodles""]","[""Crush noodles in bottom of 13 x 9 casserole dish."", ""Layer slaw mix, onions, almonds and sunflower seeds, but do not mix."", ""Then mix together oil, vinegar, sugar and 2 packages of the Ramen noodle seasoning mix."", ""Pour over other mixture, but do not mix."", ""Let chill 24 hours."", ""Then mix before serving.""]",www.cookbooks.com/Recipe-Details.aspx?id=4304,Gathered,"[""beef Ramen noodles"", ""cole slaw"", ""almonds"", ""sunflower seeds"", ""green onions"", ""oil"", ""vinegar"", ""sugar"", ""beef seasoning from Ramen noodles""]"
5792,Chinese Salad,"[""Chinese cabbage, chopped"", ""5 diced green onions"", ""1 stick butter"", ""2 pkg. Ramen noodles"", ""1/2 c. sunflower seeds"", ""1 pkg. slivered almonds"", ""sesame seed""]","[""Mix cabbage and onions."", ""Put in Ziploc bag and refrigerate. Saute butter, noodles, sunflower seeds, almonds and sesame seed. Pour on paper towels and cool."", ""Keep in Ziploc bag until ready to use.""]",www.cookbooks.com/Recipe-Details.aspx?id=1063752,Gathered,"[""Chinese cabbage"", ""green onions"", ""butter"", ""Ramen noodles"", ""sunflower seeds"", ""almonds"", ""sesame seed""]"
6840,Oriental Cabbage Salad,"[""1 medium head shredded cabbage"", ""4 green onions"", ""1/2 c. sunflower seeds"", ""1/2 c. sliced almonds"", ""Top Ramen Oriental noodles"", ""1/2 c. oil"", ""3 Tbsp. vinegar"", ""2 Tbsp. sugar"", ""1/2 tsp. salt and pepper"", ""seasoning from Top Ramen pkg.""]","[""In cruet, mix the oil, vinegar, sugar, salt, pepper and seasoning."", ""Toss salad with crushed up Ramen noodles and salad dressing right before serving or the noodles will get soggy.""]",www.cookbooks.com/Recipe-Details.aspx?id=1052870,Gathered,"[""cabbage"", ""green onions"", ""sunflower seeds"", ""almonds"", ""noodles"", ""oil"", ""vinegar"", ""sugar"", ""salt"", ""Ramen""]"
