,ingredient,count,type
0,sugar,1078,flavor
2,oil,534,flavor
3,soy sauce,887,flavor
4,Ramen noodles,561,noodle
6,green onion,253,topping
10,almonds,957,flavor
11,sesame seeds,433,flavor
12,butter,317,flavor
13,green onions,1058,topping
15,red pepper,165,flavor
16,sunflower seeds,416,flavor
17,vinegar,341,flavor
19,cabbage,649,topping
22,rice vinegar,213,flavor
23,salt,642,flavor
24,pepper,361,flavor
27,carrots,211,topping
28,sesame seed,217,flavor
38,vegetable oil,463,flavor
49,carrot,180,topping
50,onion,318,topping
52,water,588,soup
54,chicken,371,soup
80,garlic,552,flavor
94,olive oil,221,flavor
100,ramen noodles,1047,noodle
213,sesame oil,379,flavor
221,scallions,210,flavor
277,eggs,215,topping
568,ginger,202,flavor
